=== ALL visible strings in main window widget tree ===
                                  QLabel             text             '<b>提示：</b>把鼠标悬停在选项/按钮上可查看说明。复选框支持半选和全选。'
                                  QLabel             text             '<b>提示：</b>可以把图片文件夹或漫画文件/压缩包直接拖入本窗口进行转换。'
                                  QLabel             text             '<b>提示：</b>Calibre 可能会添加白边！建议直接用 USB 把文件拖入设备的 documents 文件夹。'
                                  QLabel             text             '<b>提示：</b>可用右上角按钮切换简易/专家模式。'
                                  QLabel             text             '您是 <b>KCC</b> 的新用户，请先看看这几条 <a href="https://github.com/ciromattia/kcc/wiki/Important-tips">重要提示</a>。'
                                  QLabel             text             '<a href="https://github.com/ciromattia/kcc#kindlegen"><b>安装 KindleGen（链接）</b></a> 以启用 Kindle 的 MOBI 转换！'
     qt_spinbox_lineedit          QLineEdit          text             '0'
     preserveMarginLabel          QLabel             text             '保留边距 %'
     preserveMarginLabel          QLabel             toolTip          '<html><head/><body><p>计算裁剪边界后，按指定百分比向外“回退”留白。</p></body></html>'
     croppingPowerLabel           QLabel             text             '裁剪力度：1.00'
     gammaLabel                   QLabel             text             '伽马：自动'
     hLabel                       QLabel             text             '自定义高度：'
     hLabel                       QLabel             toolTip          "<html><head/><body><p style='white-space:pre'>目标设备的分辨率。</p></body></html>"
     wLabel                       QLabel             text             '自定义宽度：'
     wLabel                       QLabel             toolTip          "<html><head/><body><p style='white-space:pre'>目标设备的分辨率。</p></body></html>"
     clearButton                  QPushButton        text             '清空列表'
     deviceBox                    QComboBox          currentText      'Kindle Paperwhite 12'
     deviceBox                    QComboBox          currentData      'Kindle Paperwhite 12'
     deviceBox                    QComboBox          item[0]          'Kindle Scribe Colorsoft（彩色）'
     deviceBox                    QComboBox          item[1]          'Kindle Scribe 3'
     deviceBox                    QComboBox          item[2]          'Kindle Colorsoft（彩色）'
     deviceBox                    QComboBox          item[3]          'Kindle Paperwhite 12'
     deviceBox                    QComboBox          item[4]          'Kindle Scribe 1/2'
     deviceBox                    QComboBox          item[5]          'Kindle Paperwhite 11'
     deviceBox                    QComboBox          item[6]          'Kindle 11'
     deviceBox                    QComboBox          item[7]          'Kindle Oasis 9/10'
     deviceBox                    QComboBox          item[9]          'Kobo Clara 2E'
     deviceBox                    QComboBox          item[10]         'Kobo Clara Colour（彩色）'
     deviceBox                    QComboBox          item[11]         'Kobo Sage'
     deviceBox                    QComboBox          item[12]         'Kobo Libra 2'
     deviceBox                    QComboBox          item[13]         'Kobo Libra Colour（彩色）'
     deviceBox                    QComboBox          item[14]         'Kobo Elipsa'
     deviceBox                    QComboBox          item[15]         'Kobo Nia'
     deviceBox                    QComboBox          item[17]         'reMarkable 1'
     deviceBox                    QComboBox          item[18]         'reMarkable 2'
     deviceBox                    QComboBox          item[19]         'reMarkable Paper Pro'
     deviceBox                    QComboBox          item[20]         'reMarkable Paper Pro Move'
     deviceBox                    QComboBox          item[22]         '其他设备（自定义分辨率）'
     deviceBox                    QComboBox          item[24]         'Kindle 1324x1986'
     deviceBox                    QComboBox          item[25]         'Kindle 1920x1920'
     deviceBox                    QComboBox          item[26]         'Kindle 1860x1920'
     deviceBox                    QComboBox          item[27]         'Kindle 1240x1860'
